iter	Passed	Remaining
222	465	1620
223	466	1615
224	467	1610
225	468	1605
226	469	1600
227	471	1595
228	473	1593
229	474	1588
230	475	1584
231	477	1579
232	478	1574
233	479	1570
234	481	1566
235	482	1562
236	484	1558
237	488	1562
238	489	1559
239	490	1554
240	492	1550
241	493	1546
242	495	1542
243	496	1539
244	498	1536
245	500	1532
246	503	1536
247	505	1531
248	506	1527
249	508	1524
250	509	1520
251	511	1517
252	512	1513
253	514	1509
254	515	1506
255	517	1504
256	520	1504
257	521	1500
258	523	1496
259	524	1492
260	525	1489
261	527	1485
262	528	1481
263	531	1480
264	532	1476
265	533	1472
266	534	1468
267	536	1465
268	537	1461
269	538	1457
270	540	1453
271	543	1454
272	546	1455
273	547	1451
274	549	1448
275	550	1444
276	552	1440
277	553	1438
278	555	1436
279	557	1433
280	562	1438
281	563	1434
282	564	1431
283	566	1427
284	567	1423
285	569	1420
286	570	1417
287	573	1417
288	576	1417
289	577	1414
290	579	1411
291	580	1407
292	581	1404
293	583	1400
294	585	1398
295	589	1402
296	590	1398
297	592	1395
298	593	1391
299	594	1388
300	596	1386
301	598	1382
302	599	1378
303	603	1380
304	605	1380
305	607	1377
306	608	1373
307	609	1370
308	611	1367
309	612	1364
310	614	1360
311	615	1356
312	620	1361
313	621	1357
314	622	1354
315	624	1351
316	625	1347
317	627	1345
318	628	1341
319	629	1338
320	635	1343
321	636	1340
322	637	1336
323	639	1333
324	640	1330
325	642	1329
326	644	1326
327	645	1322
328	647	1320
329	648	1317
330	650	1314
331	651	1310
332	652	1307
333	653	1303
334	655	1300
335	656	1297
336	661	1301
337	662	1297
338	664	1294
339	665	1291
340	666	1288
341	668	1285
342	669	1282
343	670	1279
344	671	1275
345	676	1278
346	677	1274
347	678	1270
348	679	1267
349	680	1264
350	681	1260
351	683	1257
352	684	1254
353	685	1250
354	686	1247
355	689	1247
356	690	1243
357	692	1241
358	693	1237
359	694	1234
360	695	1231
361	697	1228
362	698	1225
363	699	1222
364	701	1219
365	702	1216
366	704	1215
367	705	1211
368	706	1208
369	708	1205
370	709	1202
371	710	1199
372	711	1196
373	712	1193
374	713	1189
375	715	1186
376	716	1183
377	718	1181
378	719	1178
379	720	1175
380	721	1172
381	722	1169
382	724	1166
383	725	1163
384	726	1160
385	727	1157
386	728	1154
387	730	1151
388	732	1150
389	733	1147
390	734	1144
391	736	1141
392	737	1138
393	738	1135
394	739	1132
395	740	1129
396	741	1126
397	743	1123
398	744	1121
399	747	1120
400	748	1118
401	749	1115
402	750	1112
403	752	1109
404	753	1106
405	754	1103
406	755	1100
407	756	1097
408	757	1094
409	758	1092
410	761	1091
411	763	1089
412	764	1086
413	766	1084
414	767	1081
415	768	1079
416	770	1076
417	771	1074
418	772	1071
419	773	1068
420	774	1065
421	777	1064
422	779	1063
423	781	1061
424	782	1058
425	784	1056
426	785	1053
427	786	1050
428	787	1048
429	788	1045
430	791	1044
431	792	1041
432	793	1039
433	794	1036
434	795	1033
435	797	1031
436	798	1028
437	799	1026
438	800	1023
439	801	1020
440	803	1017
441	804	1015
442	807	1014
443	808	1012
444	809	1009
445	810	1006
446	811	1004
447	812	1001
448	813	998
449	815	996
450	816	993
451	817	991
452	818	988
453	821	987
454	822	985
455	824	983
